Restaurant Name;Adresse;Kategorie;
NOVEMBER Brasserie;Danziger Str. 26, 10435 Berlin;Japanese Brasserie;
LIU 成都味道面馆;Kronenstraße 72, 10117 Berlin;Sichuan Chinese;
Father Carpenter;Münzstr 21, 10178 Berlin;Cafe/Coffee;
Berta Restaurant;Stresemannstraße 99, 10963 Berlin;Israeli-Mediterranean;
Clärchens Ballhaus;Auguststraße 24, 10117 Berlin;German/Dance Hall;
Borchardt;Französische Str. 47, 10117 Berlin;French-German;
ITA Bistro;Lettestraße 9, 10437 Berlin;Fusion/Bistro;
Sway;Pannierstraße 29, Berlin;Wine bar/Snacks;
Le Balto;Hobrechtstraße 28, 12047 Berlin;Wine bar;
SOFI;Sophienstraße 21, 10178 Berlin;Bakery;
Capvin Rosenhöfe;Rosenthaler Straße 36, 10178 Berlin;Italian/Pizza;
Atelier Dough;Glogauer Str. 9, 10999 Berlin;Bakery/Donuts;
Chipperfield Kantine;Joachimstr. 11, 10119 Berlin;Café/Canteen;
Westberlin;Alexandrinenstrasse 118-121, 10969 Berlin;Café/Bar;
Gnam Pasta Factory;Kottbusser Damm 6, 10967 Berlin;Italian/Pasta;
Shōdo Udon Lab;Simon-Dach-Str. 41, 10245 Berlin;Japanese/Udon;
Bonanza Coffee Heroes;Oderberger Str. 35, 10435 Berlin;Coffee/Café;
Crapulix;Schildhornstraße 87, Berlin;Patisserie/Café;
The Grain;Gleimstraße 38, 10437 Berlin;Pizza;
GEMELLO;Lettestr. 6A, 10437 Berlin;Vegan Pizza;
Fukagawa Ramen;Wörtherstr. 22, 10405 Berlin;Japanese/Ramen;
Wen Cheng 1;Schönhauser Allee 65, 10437 Berlin;Chinese/Noodles;
otto;Oderberger Str. 56, 10435 Berlin;Modern/Seafood;
Sasaya;Lychener Str. 50, 10437 Berlin;Japanese;
Gazzo;Hobrechtstrasse 57, 12047 Berlin;Pizza;
DONGNAM Coffee Lab;Kurfürstendamm 105, 10711 Berlin;Coffee;
Momo Mochi Donut;Heinrich-Roller-Straße 10, 10405 Berlin;Bakery/Donuts;
Kitten Deli;Friedelstraße 30, 12047 Berlin;Israeli;
Estelle;Kopenhagener Str. 12 A, 10437 Berlin;Modern European;
SORI Ramen;Wisbyer Str. 3, 10439 Berlin;Japanese/Ramen;
Material;Schönhauser Allee 156, 10435 Berlin;Café/Wine;
Boutique de LA MAISON;Urbanstr.70A, 10967 Berlin;French Bakery;
Sfera;Schudomastraße 44, 12055 Berlin;Vegan Café;
AKKURAT Café;Besselstraße 13, 10969 Berlin;Coffee/Café;
Sotto;Neue Hochstraße 25, 13347 Berlin;Italian;
JOHANN Bäckerei;Gleditschstraße 47, 10781 Berlin;Bakery;
Albatross Bäckerei;Graefestrasse 66/67, 10967 Berlin;Bakery;
Larb Koi;Krossener Str. 15, 10245 Berlin;Thai;
Mamida;Dunckerstraße 80A, 10437 Berlin;Pizza;
Cocolo Ramen X-berg;Graefestraße 11, 10967 Berlin;Japanese/Ramen;
Alt Berliner Wirtshaus Henne;Leuschnerdamm 25, 10999 Berlin;German/Chicken;
ORA Restaurant & Wine Bar;Oranienplatz 14, 10999 Berlin;Wine Bar;
St. Bart;Graefestraße 71, 10967 Berlin;Gastropub;
Taktil;Nogatstr. 38, 12051 Berlin;Bakery;
Companion Tee & Kaffee;Weserstraße 166, 12045 Berlin;Café;
Concierge Coffee;Paul-Lincke-Ufer 39-40, 10999 Berlin;Coffee;
Knödelwirtschaft NORD;Stargarder Str. 3, 10437 Berlin;German/Dumplings;
Tribeca Ice Cream;Rykestr. 40, 10405 Berlin;Ice Cream;
Chungking Noodles;Reichenberger Str. 35, 10999 Berlin;Chinese;
Babka & Krantz;Hackerstraße 1, 12161 Berlin;Jewish Bakery;
Anima;Mühlenstraße 61-63, 10243 Berlin;Bar/Restaurant;
La Côte;Kienitzer Straße 95, 12049 Berlin;Wine & Food;
Barra;Okerstraße 2, 12049 Berlin;Italian;
Beuster;Weserstraße 32, 12045 Berlin;Brasserie;
jaja;Weichselstraße 7, 12043 Berlin;Wine Bar;
Schüsseldienst;Akazienstraße 7, 10823 Berlin;Fast Food;
goldies;Oranienstr. 6, 10997 Berlin;Burgers;
Berlin Burger International;Pannierstraße 5, 12047 Berlin;Burgers;
Lucky Katsu;Leibnizstraße 70B, 10625 Berlin;Japanese/Chicken;
CODA Dessert Dining;Friedelstraße 47, 12047 Berlin;Dessert;
L'Eustache;Weisestr. 49, 12049 Berlin;French;
Common;Karl-Marx-Straße 176, 12043 Berlin;Bakery/Pizza;
Pan Africa Restaurant;Kirchhofstr. 41, 12055 Berlin;African;
The Barn Café;Auguststr. 58, 10119 Berlin;Coffee;
onette;Grunewaldstraße 11, 10781 Berlin;Luncheonette;
La Bolognina;Donaustraße 107, 12043 Berlin;Italian;
DoubleEye;Akazienstraße 22, 10823 Berlin;Coffee/Café;
Frühstück 3000;Bülowstraße 101, 10783 Berlin;Breakfast/Brunch;
Sardinen Bar;Grunewaldstr. 79, 10823 Berlin;Seafood;
Jones Ice Cream;Goltzstr. 3, 10781 Berlin;Ice Cream;
Österelli;Bismarckstraße 6, 10625 Berlin;Austrian;
AVIV 030;Richardstr. 76, 12043 Berlin;Middle Eastern;
Jules Geisberg;Geisbergstraße 9, 10777 Berlin;Coffee/Café;
Philomeni's Greek Delicious;Knesebeckstraße 97, 10623 Berlin;Greek;
Frau Mittenmang;Rodenbergstr. 37, 10439 Berlin;Mediterranean;
Restaurant 893 Ryōtei;Kantstraße 135, 10623 Berlin;Japanese;
Enoiteca Il Calice;Walter-Benjamin-Platz 4, 10629 Berlin;Italian/Wine;
Gingi's Izakaya;Rykestr. 45, 10405 Berlin;Japanese;
Diener Tattersall;Grolmanstraße 47, 10623 Berlin;Dive Bar;
Maître Philippe & Filles;Emser Str. 42, 10719 Berlin;French Deli;
La Cantine d'Augusta;Langenscheidtstr. 6/6a, 10827 Berlin;French;
Châlet Suisse;Clayallee 99, 14195 Berlin;Swiss;
Spice Junction;Bülowstraße 44, 10783 Berlin;Indian;
aerde restaurant;Am Lokdepot 6, 10965 Berlin;Modern European;
Shaniu's House of Noodles;Pariser Str. 58, 10719 Berlin;Chinese;
Julius;Gerichtstraße 31, 13347 Berlin;German/Fine Dining;
Jungbluth;Lepsiusstr. 63, 12163 Berlin;Modern European;
